PublicationNumber,Title,Year,Abstract,Journal,Authors,PMID,DOI,Comments,Question,Answer
46ebea93-7a32-4a77-aabc-51ae3a316ca1,Next Generation Sequencing-Based Transcriptome Predicts Bevacizumab Efficacy in Combination with Temozolomide in Glioblastoma,2019,Glioblastoma (GBM) the most common and malignant brain tumor is classified according to its isocitrate dehydrogenase (IDH) mutation status in the 2016 World Health Organization (WHO) brain tumor classification scheme. The standard treatment for GBM is maximal resection radiotherapy and Temozolomide (TMZ). Recently Bevacizumab (Bev) has been added to basic therapy for newly diagnosed GBM and monotherapy for recurrent GBM. However the effect of IDH1 mutation on the combination of Bev and TMZ is unknown. In this study we performed transcriptomic analysis by RNA sequencing with next generation sequencing (NGS) a newly developed powerful method that enables the quantification of the expression level of genome-wide genes. Extracellular matrix and immune cell migration genes were mainly upregulated whereas cell cycle genes were downregulated in IDH1-mutant U87 cells but not in IDH1-wildtype U87 cells after adding Bev to TMZ. In vitro and in vivo studies were conducted for further investigations to verify these results and the addition of Bev to TMZ showed a significant antitumor effect only in the IDH1-mutant GBM xenograft model. Further studies of gene expression profiling in IDH1 mutation gliomas using NGS will provide more genetic information and will lead to new treatments for this refractory disease.,,Atsushi ,,10.3390/molecules24173046,,Is this publication relevent to this project?,
48d78643-b385-467a-99d7-ef9366b6a40b,Temozolomide Cocrystals Exhibit Drug Sensitivity in Glioblastoma Cells,2014,Temozolomide is the only drug approved for the treatment of malignant brain tumors. The sensitivity of Temozolomide-Succinic acid and Temozolomide-Oxalic acid cocrystals (TMZ-SA and TMZ-OA) in inhibiting the proliferation and growth of human glioblastoma malignant cell lines U373 U87 and LN18 is comparable to the reference drug. Both TMZ-SA and TMZ-OA cocrystals are stable to long term storage (white color powder) whereas TMZ becomes tan brown within 2 months (indicative of degradation). These pharmaceutical cocrystals combine the desirable features of hyrolytic stability good dissolution and cytotoxic activity for further preclinical studies.,,Ashwini ,,10.1007/s40010-014-0142-8,,Is this publication relevent to this project?,
499a3e31-87d2-48fa-84bd-abef9c57df96,Growth Inhibitory Effects of Dipotassium Glycyrrhizinate in Glioblastoma Cell Lines by Targeting MicroRNAs Through the NF-kappa B Signaling Pathway,2019,It has been shown that nuclear factor kappa-B (NF-kappa B) is constitutively activated in glioblastoma (GBM) suggesting that the pathway could be a therapeutic target. Glycyrrhetic acid (GA) a compound isolated from licorice (Glycyrrhiza glabra) has bee n shown to decrease cell viability and increases apoptosis in human cancer cell lines by NF-kappa B signaling pathway suppression. Dipotassium glycyrrhizinate (DPG) a dipotassium salt of GA has anti-inflammatory properties without toxicity. The current study examined the effectiveness of DPG as an anti-tumor in U87MG and T98G GBM cell lines. Additionally we assessed DPG as a candidate for combinational therapy in GBM with temozolomide (TMZ). Our results demonstrated that the viability of U87MG and T98G cells significantly decreased in a time- and dose-dependent manner after DPG treatment and the apoptotic ratio of DPG-treated groups was significantly higher than that of control groups. In addition DPG in combination with TMZ revealed synergistic effects. Furthermore the expression of NF-kappa B-luciferasereporter in transfected GBM cell lines was remarkably reduced after DPG exposure by up-regulating miR16 and miR146a which down-regulate its target genes IRAK2 and TRAF6. A reduced neuro-sphere formation was also observed after DPG in both GBM cells. In conclusion DPG presented anti-tumoral effect on GBM cell lines through a decrease on proliferation and an increase on apoptosis. In addition our data also suggest that DPG anti-tumoral effect is related to NF-kappa B suppression where IRAK2- and TRAF6-mediating miR16 and miF?146a respectively might be a potential therapeutic target of DPG.,,Marques ,,10.3389/fncel.2019.00216,,Is this publication relevent to this project?,
4edfba7e-982c-4b6e-af32-e9a73e7e0fdd,Artesunate Enhances the Antiproliferative Effect of Temozolomide on U87MG and A172 Glioblastoma Cell Lines,2014,As chemotherapy with temozolomide is far from providing satisfactory clinical outcomes for patients with glioblastoma more efficient drugs and drug combinations are urgently needed. The anti-malarial artesunate was previously shown to exert a profound cytotoxic effect on various tumor cell lines including those derived from glioblastoma. In the current study we sought to examine the antiproliferative effect of a combination of temozolomide and artesunate on two different established human glioblastoma cell lines. The IC50 and IC25 were determined for temozolomide and artesunate in U87MG and A172 glioblastoma cell lines after 144 h of continuous drug exposure. The antiproliferative effect of combining both agents at IC50 /IC50 and IC25 /IC25 was determined by a cell viability assay. Moreover necrosis and apoptosis were analyzed by annexin V/PI staining and flow cytometric analysis. In addition cytostatic effects were examined by carboxyfluorescein diacetate succinimidyl ester staining and subsequent flow cytometry. In both glioblastoma cell lines artesunate was found to enhance the antiproliferative effect exerted by temozolomide. Moreover artesunate acted in concert with temozolomide in terms of cytostatic and necrotizing effects. These observations suggest that a combination of artesunate and temozolomide might result in increased cytotoxicity in glioblastoma.,,Marc-Eric ,,10.2174/18715206113136660340,,Is this publication relevent to this project?,
51354aaa-9b14-4be5-8232-8a0e79dcafb5,Mutant TP53 enhances the resistance of glioblastoma cells to temozolomide by up-regulating O-6-methylguanine DNA-methyltransferase,2013,The [']gain of function['] of mutant TP53 is an important determinant in human tumor development and progression. This study aimed to investigate the possible mechanism of mutant TP53 inducing temozolomide resistance in glioblastoma cells. Three established human glioma cell lines T98G U87 and U138 were chemoresistant cells. The mRNA of cells was sequenced to confirm the status of TP53. Synthetic small interfering RNA (siRNA) was used to knock down TP53 in cells. TP53 mRNA was detected [']silenced['] by reverse transcriptase-polymerase chain reaction (RT-PCR) in five consecutive days. Viable cell survival was measured when these cells were exposed to temozolomide or semustine in step-up concentrations. The expression of O-6-methylguanine DNA-methyltransferase (MGMT) at mRNA level was also determined. T98G U87 and U138 cells were resistant to temozolomide. T98G and U138 cells expressed mutant-type TP53 with positive MGMT while U87 cell expressed wild-type TP53 with negative MGMT. TP53-siRNA knocked down TP53 effectively (P = 0.021) in five consecutive days. Knockdown of mutant TP53 in T98G and U138 cells led to a fivefold increase in chemosensitivity to temozolomide but not semustine. Knockdown of wild TP53 in U87 cell did not affect the chemoresistance. In addition mutant TP53 knockdown induced a dramatic decrease of MGMT expression (P = 0.0000034). TP53 mutation decreases the chemosensitivity of malignant gliomas to temozolomide. This [']gain of function['] in drug resistance may be obtained by increasing MGMT expression.,,Qing ,,10.1007/s10072-012-1257-9,,Is this publication relevent to this project?,
52d22bf6-f9d9-4c47-96e0-da290052c552,Polymer - Temozolomide Conjugates as Therapeutics for Treating Glioblastoma,2018,A series of polymer drug conjugates based on 2-methacryloyloxyethyl phosphorylcholine (MPC) was prepared with the glioblastoma drug temozolomide (TMZ) as pendent groups. Random and block copolymers were synthesized by reversible addition fragmentation chain-transfer (RAFT) polymerization using a TMZ-containing methacrylate monomer. The solution properties of the polyMPC-TMZ copolymers were investigated by dynamic light scattering and transmission electron microscopy revealing well-defined nanostructures from the block copolymers. Conjugation of TMZ to polyMPC enhanced drug stability with decomposition half-life values ranging from 2- to 19-times longer than that of free TMZ. The cytotoxicity of polyMPC TMZ was evaluated in both chemosensitive (U87MG) and chemoresistant (T98G) glioblastoma cell lines. Furthermore the polyMPC TMZ platform was expanded considerably by the preparation of redox-sensitive polyMPC-TMZ copolymers utilizing disulfides as the polymer-to-drug linker.,,Todd ,,10.1021/acs.molpharmaceut.8b00766,,Is this publication relevent to this project?,
552afe89-a702-4001-8e57-1936c83048d3,The HIV-derived protein Vpr52-96 has anti-glioma activity in vitro and in vivo,2015,Background: Patients with actively replicating human immunodeficiency virus (HIV) are highly radiosensitive and exhibit adverse reactions even at low irradiation doses. A major underlying cause is high intra- and extracellular levels of a virus-encoded peptide termed viral protein R (Vpr). As Vpr efficiently crosses the blood-brain barrier and accumulates in astrocytes we examined whether it may be utilized as a drug in the treatment of glioblastoma multiforme (GBM) Methods: Four glioblastoma-derived cell lines with and without lentivirus-mediated Methylguanine-DNA methyltransferase (MGMT) overexpression (U251 U87 U251-MGMT U87-MGMT) were exposed to Vpr temozolomide (TMZ) conventional photon irradiation (2-6 Gy) or to combinations. Caspase assays were employed to detect apoptosis. Colony formation assays were used to analyse clonogenic survival. Dose escalation was performed using n = 12 NOD/SCID/gammac-/- (NSG) mice in a classical 3+3 manner. This strain was also used as an orthotopic implant model of glioma using luciferase-expressing U87 cells (n = 18). Continuous Vpr administration was achieved using osmotic pumps irradiation (3x5 Gy) was performed using a small-animal irradiation device and intracerebral tumor growth was monitored using repetitive contrast-enhanced micro CT scans Results: Vpr showed high rates of acute toxicities with a LD50 of 4.0+/-1.1 muM for U251 and a LD50 of 15.7+/-7.5 muM for U87 cells. Caspase assays revealed Vpr-induced apoptosis in U251 but not in U87 cells. Vpr also efficiently inhibited clonogenic survival both in U251 and U87 cells and showed additive effects with irradiation. In contrast to TMZ Vpr acted independently of the MGMT expression status. Dose escalation in mice (n = 12) was feasible and resulted in no evident renal or liver toxicity. Similar to irradiation with 3 x 5 Gy (n = 8) Vpr treatment of orthotopically implanted NSG mice (n = 5) delayed tumor growth and significantly (p = 0.041; log-rank test) prolonged overall survival compared to untreated animals (n = 5) Conclusion(s): The HIV-encoded peptide Vpr exhibits all properties of an effective chemotherapeutic drug and may be a useful agent in the treatment of GBM.,,F ,,10.1158/1538-7445.AM2015-4458,,Is this publication relevent to this project?,
5b37c0d7-1db2-479b-813f-90f94b38cf87,Gene expression profiling predicts response to temozolomide in malignant gliomas,2010,Malignant gliomas are highly lethal neoplasms that cannot be cured with currently available therapies. Temozolomide (TMZ) is a recently introduced alkylating agent that has yielded significant benefits and become a key agent in the treatment of high-grade gliomas. However its survival benefit remains unsatisfactory. Understanding the molecular basis of TMZ sensitivity/resistance is necessary for improving the treatment outcome by devising strategies that are able to circumvent primary drug resistance. We therefore combined the in vitro TMZ response with microarray gene expression data to identify genes that could potentially be used to predict the response of malignant gliomas to TMZ therapy. We first obtained the individual IC50 values for TMZ in seven malignant glioma cell lines (A-172 AM-38 T98G U-87MG U-138MG U-251MG and YH-13) and then identified the genes whose expression correlated most highly with TMZ sensitivity employing a cDNA microarray. We present here a list of the most highly up-regulated and down-regulated genes which may be involved in conferring TMZ sensitivity/resistance in malignant gliomas although most of the genes have not been implicated as a causal factor in the TMZ response except MGMT. We also demonstrated and confirmed the MGMT methylation status quantitative MGMT mRNA levels and MGMT protein expression levels in TMZ resistant glioma cells in vitro. Our results are thus consistent with previous studies and suggest that a dominant mechanism conferring sensitivity/resistance to TMZ exists in malignant glioma cells. Although the present study dose have several limitations our reported candidate genes could represent not only potential molecular markers for TMZ sensitivity/resistance but also chemotherapy targets. Furthermore the present study could provide a foundation for alternative therapeutic strategies including novel combination treatments that incorporate additional reagents directed at overcoming resistance to TMZ.,,Kouhei ,,10.3892/ijo_00000621,,Is this publication relevent to this project?,
5fd70844-6266-4751-9b30-c5349b046c5b,BET inhibitor I-BET151 sensitizes GBM cells to temozolomide via PUMA induction,2020,A significant roadblock in treatment of GBM multiforme (GBM) is resistance to temozolomide (TMZ). In this study we investigated whether I-BET151 a specific BET inhibitor could sensitize GBM cells to TMZ. Our findings showed that the action of I-BET151 could augment the effect of TMZ on cancer cells U251 and U87 cells. In U251 cells administration of I-BET151 increased the TMZ-induced apoptosis GBM cells. I-BET151 remarkably enhanced the activities of caspase-3. In addition I-BET151 promoted TMZ-induced migration and invasion in GBM cells. Moreover I-BET151 increased the amount of reactive oxygen species as well as superoxide anions with a decrease of activity of SOD and the anti-oxidative properties of GBM cells. I-BET151 also induced increased PUMA expression which is required for the functions of I-BET151 and regulates the synergistic cytotoxic effects of i-BET151 and TMZ in GBM cells. I-BET151 with TMZ also showed synergistic cytotoxic effects in vivo. These point out to an approach to tackle GBM using TMZ along with BET inhibitors.,,Xin ,,10.1038/s41417-018-0068-4,,Is this publication relevent to this project?,
64f4064d-1690-4af7-be0a-4ce029049460,GADD45A plays a protective role against temozolomide treatment in glioblastoma cells,2017,Glioblastoma multiforme (GBM) is one of the most aggressive cancers. Despite recent advances in multimodal therapies high-grade glioma remains fatal. Temozolomide (TMZ) is an alkylating agent used worldwide for the clinical treatment of GBM; however the innate and acquired resistance of GBM limits its application. Here we found that TMZ inhibited the proliferation and induced the G2/M arrest of GBM cells. Therefore we performed microarrays to identify the cell cycle- and apoptosis-related genes affected by TMZ. Notably GADD45A was found to be up-regulated by TMZ in both cell cycle and apoptosis arrays. Furthermore GADD45A knockdown (GADD45A(kd)) enhanced the cell growth arrest and cell death induced by TMZ even in natural (T98) and adapted (TR-U373) TMZ-resistant cells. Interestingly GADD45A(kd) decreased the expression of O(6)-methylguanine-DNA methyltransferase (MGMT) in TMZ-resistant cells (T98 and TR-U373). In MGMT-deficient/TMZ-sensitive cells (U87 and U373) GADD45A(kd) decreased TMZ-induced TP53 expression. Thus in this study we investigated the genes influenced by TMZ that were important in GBM therapy and revealed that GADD45A plays a protective role against TMZ treatment which may through TP53-dependent and MGMT-dependent pathway in TMZ-sensitive and TMZ-resistant GBM respectively. This protective role of GADD45A against TMZ treatment may provide a new therapeutic strategy for GBM treatment.,,Jyh-Wei ,,10.1038/s41598-017-06851-3,,Is this publication relevent to this project?,
65626bd3-b5e1-4410-85af-f6a1619a43d0,Combination of the mTOR inhibitor RAD001 with temozolomide and radiation effectively inhibits the growth of glioblastoma cells in culture,2015,The present in vitro study aimed to assess the effects of combining the mTOR inhibitor RAD001 and temozolomide (TMZ) together with irradiation by either low-linear energy transfer (LET) radiation (-rays) or high-LET radiation (fast neutrons) on the growth and cell survival of the human glioblastoma cell line U-87. We observed a strong decrease in cell proliferation along with a concomitant increase in cell death as a function of the radiation dose. As expected high-LET radiation was more effective and induced more sustained damage to DNA than low-LET radiation. While RAD001 in association with TMZ induced autophagic cell death additional combination with either type of radiation did not further increase its occurrence. On the contrary apoptosis remained at a low level in all experimental groups.,,Pierre ,,10.3892/or.2014.3590,,Is this publication relevent to this project?,
65f733f2-fd17-417e-880f-96f346d3bc43,Effects of temozolomide (TMZ) on the expression and interaction of heat shock proteins (HSPs) and DNA repair proteins in human malignant glioma cells,2015,We previously reported the association of HSPA1A and HSPB1 with high-grade astrocytomas suggesting that these proteins might be involved in disease outcome and response to treatment. With the aim to better understand the resistance/susceptibility processes associated to temozolomide (TMZ) treatment the current study was performed in three human malignant glioma cell lines by focusing on several levels: (a) apoptotic index and senescence (b) DNA damage and (c) interaction of HSPB1 with players of the DNA damage response. Three human glioma cell lines Gli36 U87 and DBTRG were treated with TMZ evaluating cell viability and survival apoptosis senescence and comets (comet assay). The expression of HSPA (HSPA1A and HSPA8) HSPB1 O-6-methylguanine-DNA methyltransferase (MGMT) MLH1 and MSH2 was determined by immunocytochemistry immunofluorescence and Western blot. Immunoprecipitation was used to analyze protein interaction. The cell lines exhibited differences in viability apoptosis and senescence after TMZ administration. We then focused on Gli36 cells (relatively unstudied) which showed very low recovery capacity following TMZ treatment and this was related to high DNA damage levels,,Daniel ,,10.1007/s12192-014-0537-0,,Is this publication relevent to this project?,
669f4d04-f0ad-477f-b15b-ca8ca4d0106b,High-throughput screening uncovers miRNAs enhancing glioblastoma cell susceptibility to tyrosine kinase inhibitors,2017,Glioblastoma (GBM) is a deadly and therapy resistant malignant brain tumour characterized by an aggressive and diffuse growth pattern which prevents complete surgical resection. Despite advances in the identification of genomic and molecular alterations that fuel the tumour average patient survival post-diagnosis remains very low (~14.6-months). In addition to being highly heterogeneous GBM tumour cells exhibit high adaptive capacity to targeted molecular therapies owing to an established network of signalling cascades with functional redundancy which provides them with robust compensatory survival mechanisms. Here we investigated whether a multimodal strategy combining multitargeted tyrosine kinase inhibitors (MTKIs) and microRNA (miRNA) modulation could overcome the signalling pathway redundancy in GBM and hence promote tumour cell death. By performing a high-throughput screening we identified a myriad of miRNAs including those belonging to the miR-302-3p/372-3p/373-3p/520-3p family which coordinately act with the MTKI sunitinib to decrease GBM cell viability. Two members of this family hsa-miRNA-302a-3p and hsa-miRNA-520 b were found to modulate the expression of receptor tyrosine kinase mediators (including AKT1 PIK3CA and SOS1) in U87 and DBTRG human GBM cells. Importantly administration of mimics of these miRNAs with sunitinib or axitinib resulted in decreased tumour cell proliferation and enhanced cell death whereas no significant effect was observed when coupling miRNA modulation with temozolomide the first-line drug for GBM therapy. Overall our results provide evidence that combining the 'horizontal' inhibition of signalling pathways promoted by MTKIs with the 'vertical' inhibition of the downstreamsignalling cascade promoted by hsa-miR-302a-3p and hsamiR- 520 b constitutes a promising approach towards GBM treatment.Copyright © The Author 2017. Published by Oxford University Press. All rights reserved.,,C. P ,,10.1093/hmg/ddx323,,Is this publication relevent to this project?,
6a9181c7-3dcb-4cde-bfc3-39e14ac2690a,Zinc enhances TMZ cytotoxicity in glioblastoma multiforme model system,2013,Temozolomide (TMZ) is an alkylating agent that has become a mainstay of the treatment of malignant brain cancer glioblastoma multiforme. Unfortunately only a limited number of patients benefit from it. We hypothesized that p53 inactivation has a role in TMZ response and zinc (Zn) can restore this p53 critical function. Accordingly we tested if addition of zinc to TMZ enhances its cytotoxicity in a model system using 3 brain cancer cell lines. Overexpressed and active O6-methylguanine-DNA methyl transferase (MGMT) enzyme imparts resistance to the cytotoxic effects of TMZ. Therefore we used 3 glioblastoma cell lines exhibiting different status of both MGMT and p53: U87 (MGMT-/ p53 wt) U251 (MGMT-/ p53 mutant) and T98G (MGMT + / p53 mutant). Cytotoxicity was determined by colony and viability assays after 7 days of treatment. As expected TMZ + /-Zn had no effect on T98G since it has an active MGMT. Conversely in U251 cells cellular viability was significantly reduced when cells were treated with TMZ and zinc (72% cell death) compared to 44% cell death during TMZ treatment alone. Comparable results were obtained with U87 cells. Interestingly immunofluorescence studies detected p53 to be in its inactive conformation in U87 cells shifting to an active form after TMZ + Zn treatment. Detection of cell proliferation by plate colony formation assay revealed a 4 fold decrease between TMZ treatment alone and TMZ + ZnforU87 cells and 2.5 fold forU251 cells. Insummary zinc enhances the cytotoxicity of TMZ in the GBM U251 and U87 cell lines. Thus zinc may be a promising addition to TMZ therapy. Zinc being an essential mineral can be easily added to clinical protocols.,,M ,,10.1093/neuonc/not176,,Is this publication relevent to this project?,
6e01f62e-5247-460e-b52b-81e235869bce,The effect of polysaccharides from Cibotium barometz on enhancing temozolomide-induced glutathione exhausted in human glioblastoma U87 cells as revealed by H-1 NMR metabolomics analysis,2020,Glioblastoma (GBM) is the most malignant central nervous system tumor with poor prognosis. Temozolomide (TMZ) has been used as a first-line drug for the treatment of GBM for over a decade but its treatment benefits are limited by acquired resistance. Polysaccharides from Cibotium barometz (CBPs) are polysaccharides purified from the root of Cibotium barometz ( L)J. Sin. possessing sensitizing activity. The purpose of this study was to investigate the anti-cancer effect of CBP from different processing methods on U87 cells using a 'H NMR-based metabolic approach complemented with qRT-PCR and flow cytometry to identify potential markers and discover the targets to explore the underlying mechanism. Cibotium barometz is usually processed under sand heating in clinical applications. Polysaccharides from both the processed (PCBP) and raw (RCBP) C barometz were prepared and the effect on enhancing the sensitivity to TMZ was investigated in vitro. CBP can significantly increase the toxicity ofTMZ to the U87 cell line promote apoptosis enhance cell cycle changes and arrest cells in S phase and RCBP demonstrated better activity. Multivariate statistical analyses such as principal component analysis (PCA) and orthogonal projection to latent structure with discriminant analysis (OPTS-DA) were used to identify metabolic biomarkers and 12 metabolites in the cell extract samples were clearly identified as altered after RCBP exposure. NMR-based cell metabolomics provided a holistic method for the identification of CBP's apoptosis-enhancing mechanisms and the exploration of its potential applications in preclinical and clinical studies. (C) 2020 Elsevier B.V. All rights reserved.,,Shu-Qi ,,10.1016/j.ijbiomac.2020.03.243,,Is this publication relevent to this project?,
6e7f35c3-e762-4fab-84b3-57a876637228,The HIV-derived protein Vpr52-96 has anti-glioma activity in vitro and in vivo,2016,Patients with actively replicating human immunodeficiency virus (HIV) exhibit adverse reactions even to low irradiation doses. High levels of the virus-encoded viral protein R (Vpr) are believed to be one of the major underlying causes for increased radiosensitivity. As Vpr efficiently crosses the blood-brain barrier and accumulates in astrocytes we examined its efficacy as a drug for treatment of glioblastoma multiforme (GBM). In vitro four glioblastoma-derived cell lines with and without methylguanine- DNA methyltransferase (MGMT) overexpression (U251 U87 U251-MGMT U87-MGMT) were exposed to Vpr temozolomide (TMZ) conventional photon irradiation (2 to 6 Gy) or to combinations thereof. Vpr showed high rates of acute toxicities with median effective doses of 4.0+/-1.1 muM and 15.7+/-7.5 muM for U251 and U87 cells respectively. Caspase assays revealed Vpr-induced apoptosis in U251 but not in U87 cells. Vpr also efficiently inhibited clonogenic survival in both U251 and U87 cells and acted additively with irradiation. In contrast to TMZ Vpr acted independently of MGMT expression. Dose escalation in mice (n=12) was feasible and resulted in no evident renal or liver toxicity. Both irradiation with 3x5 Gy (n=8) and treatment with Vpr (n=5) delayed intracerebral tumor growth and prolonged overall survival compared to untreated animals (n=5; p3x5 Gy < 0.001 and pVpr=0.04; log-rank test). Our data show that the HIV-encoded peptide Vpr exhibits all properties of an effective chemotherapeutic drug and may be a useful agent in the treatment of GBM.,,F ,,10.18632/oncotarget.9787,,Is this publication relevent to this project?,
6fd332b0-7035-4d6d-91ae-f6e126a394e8,Mechanisms operative in the antitumor activity of temozolomide in glioblastoma multiforme,2007,Purpose: Glioblastoma multiforme (GBM) is the most frequent and incurable brain tumor in adults. Although temozolomide (TMZ) does not cure GBM it has demonstrated anti-GBM activity and has improved survival (8-14 months) and quality of life. We studied the mechanisms by which TMZ affects 2 human GBM cell lines; U251-MG and U87-MG aiming to unravel the drug-activated cascades to enable the development of combination therapies that will improve the efficacy of TMZ. Materials and Methods: The 3-(45-dimethylthiazol-2-yl)-25-diphenyltetrazolium assay was used to assess cell viability. Modulation of gene expression by TMZ therapy was assayed by gene profiling and verified by quantitative real-time polymerase chain reaction. Protein levels influenced by the treatment were studied by Western blots and immunocytochemistry. Results: Increasing concentrations of TMZ decreased cell viability in a concentration-dependent manner. The expression of 1886 genes was altered >2-fold after TMZ treatment. We focused on the 81 genes similarly altered by TMZ treatment in both cell lines to neutralize tissue-specific characteristics. Fourteen target genes of hypoxia-inducible factor (HIF-1) were found to be up-regulated after TMZ treatment including vascular endothelial growth factor (UEGF). HIF-1 alpha expression was constant at the mRNA level; however its post-treatment protein levels increased compared with those of untreated control cells. Discussion: The genetic analyses suggest that treatment with TMZ activates stress mechanisms in GBM cells that include the angiogenesis-inducing proteins HIF-1 alpha and VEGF. We propose that treatment with TMZ be supplemented with either an antibody to VEGF or down-regulators of HIF-1 alpha to improve clinical results of TMZ in the treatment of GBM.,,Amos ,,10.1097/PPO.0b013e318157053f,,Is this publication relevent to this project?,
71737268-0fb7-424d-8230-42408de7b15d,Bufothionine Promotes Apoptosis via Triggering ER Stress and Synergizes with Temozolomide in Glioblastoma Multiforme Cells,2019,Glioblastoma multiforme (GBM) is the most common type of malignant glioma. Bufothionine is one of the major active ingredients of Cinobufacini. Although the antitumor activities of bufothionine have been reported the underlying mechanism remains unclear. The present study showed that bufothionine exhibited antigrowth activities in GBM cell lines U87 and U373. Further investigation showed that bufothionine triggered endoplasmic reticulum (ER) stress to promote apoptosis in U87 and U373 cells. Moreover our results showed that bufothionine exhibited synergistic activities with Temozolomide (TMZ) to suppress the growth of U87 and U373 cells. The findings in the present study provide basis for further investigation of the therapeutic potential of bufothionine in GBM. Anat Rec 2019. (c) 2019 Wiley Periodicals Inc.,,Xianhong ,,10.1002/ar.24194,,Is this publication relevent to this project?,
746a78ac-7f95-4a0b-aa64-9a0ffaecff07,Mechanisms and antitumor activity of a binary EGFR/DNA-targeting strategy overcomes resistance of glioblastoma stem cells to temozolomide,2019,Purpose: Glioblastoma (GBM) is a fatal primary malignant brain tumor. GBM stem cells (GSC) contribute to resistance to the DNA-damaging chemotherapy temozolomide. The epidermal growth factor receptor (EGFR) displays genomic alterations enabling DNA repair mechanisms in half of GBMs. We aimed to investigate EGFR/DNA combi-targeting in GBM. Experimental Design: ZR2002 is a [']combi-molecule['] designed to inflict DNA damage through its chlorethyl moiety and induce irreversible EGFR tyrosine kinase inhibition. We assessed its in vitro efficacy in temozolomide-resistant patient-derived GSCs mesenchymal temozolomide-sensitive and resistant in vivo-derived GSC sublines and U87/EGFR isogenic cell lines stably expressing EGFR/wild-type or variant III (EGFRvIII). We evaluated its antitumor activity in mice harboring orthotopic EGFRvIII or mesenchymal TMZ-resistant GSC tumors. Result(s): ZR2002 induced submicromolar antiproliferative effects and inhibited neurosphere formation of all GSCs with marginal effects on normal human astrocytes. ZR2002 inhibited EGF-induced autophosphorylation of EGFR downstream Erk1/2 phosphorylation increased DNA strand breaks and induced activation of wild-type p53; the latter was required for its cytotoxicity through p53-dependent mechanism. ZR2002 induced similar effects on U87/EGFR cell lines and its oral administration significantly increased survival in an orthotopic EGFRvIII mouse model. ZR2002 improved survival of mice harboring intracranial mesenchymal temozolomide-resistant GSC line decreased EGFR Erk1/2 and AKT phosphorylation and was detected in tumor brain tissue by MALDI imaging mass spectrometry. Conclusion(s): These findings provide the molecular basis of binary EGFR/DNA targeting and uncover the oral bioavailability blood-brain barrier permeability and antitumor activity of ZR2002 supporting potential evaluation of this first-in-class drug in recurrent GBM.Copyright ©2019 American Association for Cancer Research.,,S ,,10.1158/1078-0432.CCR-19-0955,,Is this publication relevent to this project?,
749a6f17-dd3a-4c97-9fbb-aca5567828a1,ATM inhibitor KU-55933 increases the TMZ responsiveness of only inherently TMZ sensitive GBM cells,2012,Ataxia telangiectasia mutated (ATM) kinase is critical in sensing and repairing DNA double-stranded breaks (DSBs) such as those induced by temozolomide (TMZ). ATM deficiency increases TMZ sensitivity which suggests that ATM inhibitors may be effective TMZ sensitizing agents. In this study the TMZ sensitizing effects of 2 ATM specific inhibitors were studied in established and xenograft-derived glioblastoma (GBM) lines that are inherently sensitive to TMZ and derivative TMZ-resistant lines. In parental U251 and U87 glioma lines the addition of KU-55933 to TMZ significantly increased cell killing compared to TMZ alone [U251 survival: 0.004 +/- 0.0015 vs. 0.08 +/- 0.01 (p < 0.001) respectively and U87 survival: 0.02 +/- 0.005 vs. 0.04 +/- 0.002 (p < 0.001) respectively] and also elevated the fraction of cells arrested in G2/M [U251 G2/M fraction: 61.8 +/- 1.1 % vs. 35 +/- 0.8 % (p < 0.001) respectively and U87 G2/M fraction 25 +/- 0.2 % vs.18.6 +/- 0.4 % (p < 0.001) respectively]. In contrast KU-55933 did not sensitize the resistant lines to TMZ and neither TMZ alone or combined with KU-55933 induced a G2/M arrest. While KU-55933 did not enhance TMZ induced Chk1/Chk2 activation it increased TMZ-induced residual gamma-H2AX foci in the parental cells but not in the TMZ resistant cells. Similar sensitization was observed with either KU-55933 or CP-466722 combined with TMZ in GBM12 xenograft line but not in GBM12TMZ which is resistant to TMZ due to MGMT overexpression. These findings are consistent with a model where ATM inhibition suppresses the repair of TMZ-induced DSBs in inherently TMZ-sensitive tumor lines which suggests an ATM inhibitor potentially could be deployed with an improvement in the therapeutic window when combined with TMZ.,,N ,,10.1007/s11060-012-0979-0,,Is this publication relevent to this project?,
