StudyID,Reporting Study Parameters until 2020,Prevalence Risks of Bias until 2020
4f9f553b-8395-4825-9e9f-78142dcb0869,0.444444444444444,0.75
51aab400-324d-4dc8-b234-6fcd1ad1d33b,0.444444444444444,0.875
545a7bc3-c653-410d-883e-f33e1f323ac0,0.611111111111111,0.75
55cfea10-a7ad-4ac9-bf31-dccab2c65826,0.444444444444444,0.5
5925c028-4c05-4622-bb34-12e135d25823,0.555555555555556,0.5
5aa91e77-7ec3-40da-9680-37ce98a0ebbf,0.388888888888889,0.75
5c654622-5140-4889-b524-c32a4a82c156,0.555555555555556,0.625
5d6b5ba3-32aa-4c8e-bcbc-0bc0b4efc606,0.388888888888889,0.625
5ebff77b-4b7f-4c6e-a87c-f639a8e2386b,0.5,0.5
62452ec0-afbf-4afd-b275-20070bbf2e65,0.277777777777778,0.75
627d5a8d-c882-4fd4-aabd-79b753123d56,0.388888888888889,0.75
62f09eb5-98ed-4e5c-9229-8f53ab00d321,0.5,0.75
64a785ad-4714-4ec6-b731-4d66128602f7,0.555555555555556,0.5
65125fda-7b0f-44e5-8f71-2505146d4f2e,0.5,0.5
65b98083-98fc-469f-bd94-4a2074894498,0.5,0.75
65e0c64b-fd79-4f96-b170-ef785d6aa038,0.722222222222222,0.75
6609317e-1707-409d-a88f-9f7101cdbc4b,0.388888888888889,0.625
66cb1b02-278c-447d-a677-1ec012401dac,0.388888888888889,0.5
672fe86b-5b54-48fe-b85e-20e6e9af8a37,0.5,0.625
6c82fe2d-af65-4466-aaff-0cb0287e58dd,0.444444444444444,0.625
6d0d55bd-4206-4392-ba03-1f97fa9a84fe,0.5,0.5
6f3a6613-897c-4bb6-9f5a-a510bf1ec6ad,0.611111111111111,0.5
6ff3ffed-9aa8-4cb8-b627-58167d051aa9,0.611111111111111,0.75
7021fc36-9b7f-4195-af23-2b08ef9541af,0.5,0.75
71917ccc-72d3-4c44-b454-3c0a9aadfbcb,0.555555555555556,0.75
73124c38-128e-49cc-8c2e-a5c3363b911e,0.333333333333333,0.625
7786d6d4-34ce-406f-9f90-ac4695aa0ac8,0.555555555555556,0.625
7ac572dd-593a-45e8-bbdc-2908206558b2,0.444444444444444,0.5
7c3ed203-d964-44e5-ac75-871625a46c55,0.333333333333333,0.625
803a5cdf-ab6b-4f76-b286-35a14c443612,0.555555555555556,0.5
828c1097-b791-43fe-9bf8-3cc8b020bdd7,0.388888888888889,0.75
8348eaa2-160b-49e9-9a8a-cab250a0a730,0.5,0.875
86d1eac3-4f54-4d81-bd3d-673f115de939,0.611111111111111,0.75
8ac4c81e-cc63-4d82-8281-1bbd8ded58fd,0.5,0.625
8b82677b-2876-410c-8bb2-297b92608121,0.5,0.625
8b9ae2a8-c96e-483f-acb0-5fba62c8af38,0.5,0.75
90666892-d59e-4a37-be2b-4c003e810827,0.555555555555556,0.625
91eebf00-13ac-472f-9f48-cc8989f83c95,0.333333333333333,0.75
932116ba-5dd7-42dc-be8b-0056f998b9c8,0.611111111111111,0.5
943294a2-8777-482b-ac29-181e35f52192,0.388888888888889,0.625
945a766c-cc8f-4479-9db0-aade32bc15b9,0.388888888888889,0.75
97f8af00-a756-49b0-b3f5-f76858ae5dbe,0.555555555555556,0.75
9a9433d1-7245-4510-9f56-8032ad295081,0.388888888888889,0.5
9c39873d-c167-42cd-9fd5-7c3e92bf7ffa,0.666666666666667,0.75
9cb3f84c-86a8-42e7-9237-77684a4af6ec,0.611111111111111,0.625
9deed9c3-3f5b-4d43-89d2-22f128a03258,0.5,0.625
9f69cc7c-6213-447a-8b4f-d0b3d080596a,0.5,0.875
a21e9270-0aa7-4563-9499-5a6ea72b652e,0.388888888888889,0.625
a47caeef-d61b-4b62-9781-d0a59f1bdf0c,0.555555555555556,0.75
a5eea77e-d942-42de-9d14-318ea8c5a802,0.444444444444444,0.5
a729a71e-a8ac-4201-98fc-13363c7932a6,0.333333333333333,0.5
a72e4b21-2294-41cd-b386-f4c69d93481e,0.5,0.75
ad1b25e3-3281-4c87-89c2-d3894df7a33a,0.388888888888889,0.625
afeaea9e-1bb7-4314-881a-ea9811b22186,0.277777777777778,0.625
b1c376e5-7358-4b31-b62c-d878e7c9ce68,0.611111111111111,0.625
b1c9aa20-6bae-4900-9ebd-e009dcf7628b,0.5,0.625
b3599eec-a611-4133-8030-42371542a2ef,0.555555555555556,0.875
b44673a3-7db7-44ef-a555-4b6b9a049f9b,0.444444444444444,0.5
b4dae4ce-99ef-413e-accc-8f6c58fea931,0.5,0.75
b5a1af17-52df-4ecc-997c-68d8919c2d83,0.611111111111111,0.625
bb056e51-f833-4bbc-a8f1-eecfe62bf9c9,0.5,0.625
bbcbd017-25aa-424b-9363-4c7ef5a52d7b,0.555555555555556,0.75
bf81dcce-7a42-4509-af83-30521c164d77,0.277777777777778,0.5
c1683855-0076-441f-99c7-0cdc8e3873f1,0.444444444444444,0.875
c2320d09-2c4f-413e-b3e3-a2f5a896a357,0.444444444444444,0.75
c23a74cd-5366-43a3-9328-b684438a02d2,0.5,0.625
c70fc84a-003c-492c-85d3-bafa0fdbf122,0.388888888888889,0.625
c92f3d8e-63b4-4fa6-a009-a4cc5bdd71fc,0.333333333333333,0.625
cc7b32c6-5485-4ed8-90cf-562706fa6955,0.388888888888889,0.75
cd442914-dc00-4830-a343-658924849695,0.555555555555556,0.75
cd9cc8b6-ff29-4acd-a1d6-4b1c4764daad,0.555555555555556,0.5
cea51952-de58-4120-8cc1-dc6a2a441661,0.611111111111111,0.625
cfce2e42-f3af-4fbf-b146-829d6c4ddb9e,0.5,0.625
d033365b-a968-4559-ab12-2ea17e5908e1,0.5,0.5
d0b94a30-f0a6-4b12-9256-a6de9c8ca597,0.444444444444444,0.5
d2d89a0d-36f5-4b24-a5bb-47d2639d31d4,0.333333333333333,0.75
d306050e-218a-4db8-bbc0-3a174f59beae,0.444444444444444,0.5
d35a2ba9-5cdd-4314-aa6c-b2e3b01d3f6b,0.333333333333333,0.75
d44f6fda-2053-49b0-a99e-b15975841e14,0.277777777777778,0.75
d4ac184c-157a-48f5-a6dc-4b063a5e39e4,0.388888888888889,0.5
d584db75-fc52-4781-8280-3e89a1e6ace0,0.333333333333333,0.75
d5df5767-86c8-4c6b-96d0-acad2db2d863,0.611111111111111,0.5
d7b2b063-f0a5-496a-92f0-bb7a5920e241,0.611111111111111,0.625
d96e3310-73e6-4d24-b7cb-bdcaf1ec0efd,0.444444444444444,0.75
db764b96-86d1-4aee-961e-b85e0cda55cf,0.388888888888889,0.75
de2d96d2-bbff-462a-b344-fa179031f126,0.444444444444444,0.5
e1b12f59-eddd-46a8-871e-fc28b5d14d06,0.5,0.625
e3d07e37-7606-446e-bac2-39fbda6d045d,0.388888888888889,0.5
e655f8ff-ca46-4d8e-b718-9d613cec8733,0.5,0.625
e663f863-adf2-419b-ada9-bebffcdfd05a,0.555555555555556,0.75
e76f5704-1e0d-4416-97d8-f47b618ccd3d,0.388888888888889,0.625
e8c88cd2-830a-4b62-95e8-18fdeaa25347,0.611111111111111,0.625
e97857cd-aa4e-4af4-9448-6f6973fd6755,0.388888888888889,0.625
ead849ed-5eaa-4015-a924-d03a30dbfebb,0.444444444444444,0.5
ee686ee8-038b-47d2-9995-37183f9c51be,0.444444444444444,0.75
f04bbf0d-ad97-456f-b72e-d979a3d06abd,0.611111111111111,0.75
f08c5376-874b-4753-b626-98f3d9870491,0.555555555555556,0.75
f0c825a5-5083-4867-8af2-38cf451117c6,0.555555555555556,0.875
f2a0de99-cc26-41ee-9b95-269ba42b2051,0.5,0.5
f3d71ce9-7c96-4de2-aec1-9d4e3cdb959a,0.444444444444444,0.5
f519c5fc-9a40-4cd0-a437-e65cd2097d33,0.555555555555556,0.5
f6ee1fa2-27e8-423e-b13d-1c8935438f4f,0.444444444444444,0.5
f72cceb0-db8a-40e0-b989-887271dc61ec,0.333333333333333,0.75
fa8c41e6-ab4d-4e97-a846-75208625a8cc,0.166666666666667,0.75
fa97ee03-bef2-4837-9b71-15bf91056323,0.5,0.75
fd93d05d-13dc-42fe-871c-5e020977592a,0.444444444444444,0.5
ff2133b8-10bc-415d-b23a-e4327f028d59,0.5,0.5
