StudyID;Title;Authors;Year;DOI;Journal;JIF of journal;Conflicts of interest;Antibiotics;FBS source;Glucose level;Type of untreated control;TMZ source reported?;Cell number;Cell volume;Cell concentration;Volume of added TMZ reported?;Volume of added control;Assay;Number of experiments;Errortype;Errortype reporting;U-87 MG authentication;U-87 MG source;U-87 MG age;Confluence at cell passaging;Time interval between cell passaging;Mycoplasma contamination exclusion;Treatment duration;TMZ concentration;Reporting ratio;Included in meta-analysis?;Mean cell viability;Error cell viability;Cell viability unit;Presented as growth inhibition?;Control?;Sample size calculation;Random group allocation;Blinded outcome assessment;Open-access pre-registered study protocol;Way of calculation for cell viability summary data;Unclear number of independent experiments and replications per experiment;Data presented for every experiment?;Missing data (for particular drug concentrations and/or treatment durations) within an experiment
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;not reported;NA;10000;NA;NA;NA;FALSE;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;0;0,5;TRUE;100;0;Cell content (% of control);FALSE;TRUE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;10;0,5;TRUE;76,5;10;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;10;0,5;TRUE;72;14,7;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;10;0,5;TRUE;76;12;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;10;0,5;TRUE;75,8;10;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;15;0,5;TRUE;44,8;9;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;15;0,5;TRUE;58,9;14,5;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;15;0,5;TRUE;64;16;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;15;0,5;TRUE;55;9;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;2,5;0,5;TRUE;94,8;5,5;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;2,5;0,5;TRUE;97;5;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;20;0,5;TRUE;46,5;11,5;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;20;0,5;TRUE;46;12;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;5;0,5;TRUE;87,3;1;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;5;0,5;TRUE;91,2;5,5;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;5;0,5;TRUE;92;6;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;;FALSE;10000;NA;NA;FALSE;NA;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;5;0,5;TRUE;87,6;1;Cell content (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
086dce0d-1142-4bf2-bd43-9533e23bfb18;Effect of the STAT3 inhibitor STX-0119 on the proliferation of a temozolomide-resistant glioblastoma cell line;Ashizawa et al.;2014;10.3892/ijo.2014.2439;INTERNATIONAL JOURNAL OF ONCOLOGY;3,025;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;not reported;NA;10000;NA;NA;NA;FALSE;WST-1 assay, colorimetric;3;SD;not reported;FALSE;ATCC;20;NA;NA;FALSE;4;0;0,5;TRUE;100;1;Viability (% of control);FALSE;TRUE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
086dce0d-1142-4bf2-bd43-9533e23bfb18;Effect of the STAT3 inhibitor STX-0119 on the proliferation of a temozolomide-resistant glioblastoma cell line;Ashizawa et al.;2014;10.3892/ijo.2014.2439;INTERNATIONAL JOURNAL OF ONCOLOGY;3,025;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;10000;NA;NA;FALSE;NA;WST-1 assay, colorimetric;3;SD;not reported;FALSE;ATCC;20;NA;NA;FALSE;4;0,25;0,5;TRUE;98,3;1;Viability (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
086dce0d-1142-4bf2-bd43-9533e23bfb18;Effect of the STAT3 inhibitor STX-0119 on the proliferation of a temozolomide-resistant glioblastoma cell line;Ashizawa et al.;2014;10.3892/ijo.2014.2439;INTERNATIONAL JOURNAL OF ONCOLOGY;3,025;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;10000;NA;NA;FALSE;NA;WST-1 assay, colorimetric;3;SD;not reported;FALSE;ATCC;20;NA;NA;FALSE;4;0,5;0,5;TRUE;95,8;1,8;Viability (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
086dce0d-1142-4bf2-bd43-9533e23bfb18;Effect of the STAT3 inhibitor STX-0119 on the proliferation of a temozolomide-resistant glioblastoma cell line;Ashizawa et al.;2014;10.3892/ijo.2014.2439;INTERNATIONAL JOURNAL OF ONCOLOGY;3,025;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;10000;NA;NA;FALSE;NA;WST-1 assay, colorimetric;3;SD;not reported;FALSE;ATCC;20;NA;NA;FALSE;4;100;0,5;TRUE;28;1;Viability (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
086dce0d-1142-4bf2-bd43-9533e23bfb18;Effect of the STAT3 inhibitor STX-0119 on the proliferation of a temozolomide-resistant glioblastoma cell line;Ashizawa et al.;2014;10.3892/ijo.2014.2439;INTERNATIONAL JOURNAL OF ONCOLOGY;3,025;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;10000;NA;NA;FALSE;NA;WST-1 assay, colorimetric;3;SD;not reported;FALSE;ATCC;20;NA;NA;FALSE;4;2,5;0,5;TRUE;92,3;1;Viability (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
086dce0d-1142-4bf2-bd43-9533e23bfb18;Effect of the STAT3 inhibitor STX-0119 on the proliferation of a temozolomide-resistant glioblastoma cell line;Ashizawa et al.;2014;10.3892/ijo.2014.2439;INTERNATIONAL JOURNAL OF ONCOLOGY;3,025;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;10000;NA;NA;FALSE;NA;WST-1 assay, colorimetric;3;SD;not reported;FALSE;ATCC;20;NA;NA;FALSE;4;200;0,5;TRUE;16,1;1;Viability (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
086dce0d-1142-4bf2-bd43-9533e23bfb18;Effect of the STAT3 inhibitor STX-0119 on the proliferation of a temozolomide-resistant glioblastoma cell line;Ashizawa et al.;2014;10.3892/ijo.2014.2439;INTERNATIONAL JOURNAL OF ONCOLOGY;3,025;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;10000;NA;NA;FALSE;NA;WST-1 assay, colorimetric;3;SD;not reported;FALSE;ATCC;20;NA;NA;FALSE;4;25;0,5;TRUE;63,6;1,8;Viability (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
086dce0d-1142-4bf2-bd43-9533e23bfb18;Effect of the STAT3 inhibitor STX-0119 on the proliferation of a temozolomide-resistant glioblastoma cell line;Ashizawa et al.;2014;10.3892/ijo.2014.2439;INTERNATIONAL JOURNAL OF ONCOLOGY;3,025;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;10000;NA;NA;FALSE;NA;WST-1 assay, colorimetric;3;SD;not reported;FALSE;ATCC;20;NA;NA;FALSE;4;5;0,5;TRUE;84,4;1,8;Viability (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
086dce0d-1142-4bf2-bd43-9533e23bfb18;Effect of the STAT3 inhibitor STX-0119 on the proliferation of a temozolomide-resistant glioblastoma cell line;Ashizawa et al.;2014;10.3892/ijo.2014.2439;INTERNATIONAL JOURNAL OF ONCOLOGY;3,025;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;10000;NA;NA;FALSE;NA;WST-1 assay, colorimetric;3;SD;not reported;FALSE;ATCC;20;NA;NA;FALSE;4;50;0,5;TRUE;47,8;1;Viability (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
086dce0d-1142-4bf2-bd43-9533e23bfb18;Effect of the STAT3 inhibitor STX-0119 on the proliferation of a temozolomide-resistant glioblastoma cell line;Ashizawa et al.;2014;10.3892/ijo.2014.2439;INTERNATIONAL JOURNAL OF ONCOLOGY;3,025;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;10000;NA;NA;FALSE;NA;WST-1 assay, colorimetric;3;SD;not reported;FALSE;ATCC;20;NA;NA;FALSE;4;500;0,5;TRUE;10,2;1;Viability (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
0a8024aa-6d58-43b2-96ea-61543cae0549;Synergistic combination of chemo-phototherapy based on temozolomide/ICG-loaded iron oxide nanoparticles for brain cancer treatment;Kwon et al.;2019;10.3892/or.2019.7289;Oncology reports;3,417;it is reported that there are no conflicts of interest ;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;not reported;NA;10000;NA;NA;NA;FALSE;WST-1 assay, colorimetric;3;SD;reported;TRUE;other;;NA;80;FALSE;0;0;0,625;FALSE;100;0,5;Cell viability (%);FALSE;TRUE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
0a8024aa-6d58-43b2-96ea-61543cae0549;Synergistic combination of chemo-phototherapy based on temozolomide/ICG-loaded iron oxide nanoparticles for brain cancer treatment;Kwon et al.;2019;10.3892/or.2019.7289;Oncology reports;3,417;it is reported that there are no conflicts of interest ;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;10000;NA;NA;FALSE;NA;WST-1 assay, colorimetric;3;SD;reported;TRUE;other;;NA;80;FALSE;0;33,99415919;0,625;FALSE;91,9;3,2;Cell viability (%);FALSE;FALSE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
0bcb0299-c385-4142-93f6-6ee7d5767ee6;Bortezomib overcomes MGMT-related resistance of glioblastoma cell lines to temozolomide in a schedule-dependent manner;Vlachostergios et al.;2013;10.1007/s10637-013-9968-1;Investigational New Drugs;2,927;it is reported that there are no conflicts of interest ;Penicillin + Streptomycin;Thermo Fischer Scientific, US;no glucose;medium without DMSO;NA;200000;NA;NA;NA;FALSE;MTT, colorimetric;3;SEM;reported;TRUE;other;10;NA;NA;FALSE;0,667;0;0,625;TRUE;100;0,5;Cell proliferation (%);FALSE;TRUE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
0bcb0299-c385-4142-93f6-6ee7d5767ee6;Bortezomib overcomes MGMT-related resistance of glioblastoma cell lines to temozolomide in a schedule-dependent manner;Vlachostergios et al.;2013;10.1007/s10637-013-9968-1;Investigational New Drugs;2,927;it is reported that there are no conflicts of interest ;Penicillin + Streptomycin;Thermo Fischer Scientific, US;no glucose;;TRUE;200000;NA;NA;FALSE;NA;MTT, colorimetric;3;SEM;reported;TRUE;other;10;NA;NA;FALSE;0,667;100;0,625;TRUE;71;4;Cell proliferation (%);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
0bf1cda2-d9a8-491b-9086-af32efd2810a;Chemotherapeutic effect of tamoxifen on temozolomide-resistant gliomas;He et al.;2015;10.1097/CAD.0000000000000197;Anticancer Drugs ;2,268;not reported at all;Penicillin + Streptomycin;Hyclone Laboratories Inc, US;not reported;DMSO;NA;50000;NA;NA;NA;FALSE;CCK8, colorimetric;10;SEM;reported;FALSE;ATCC;;NA;NA;FALSE;2;0;0,5625;TRUE;100;0;Cell viability (% of vehicle control);FALSE;TRUE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
0bf1cda2-d9a8-491b-9086-af32efd2810a;Chemotherapeutic effect of tamoxifen on temozolomide-resistant gliomas;He et al.;2015;10.1097/CAD.0000000000000197;Anticancer Drugs ;2,268;not reported at all;Penicillin + Streptomycin;Hyclone Laboratories Inc, US;not reported;;TRUE;50000;NA;NA;FALSE;NA;CCK8, colorimetric;10;SEM;reported;FALSE;ATCC;;NA;NA;FALSE;2;0,4;0,5625;TRUE;96;3;Cell viability (% of vehicle control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation transparent;number clear;no data missing;no data points missing
